name,Rating,Review_Count,longitude,latitude,price
"('Wing Phat',)","(4.0,)","(58,)",-73.60182,45.57285,$$
"('Bar Zoé',)","(4.0,)","(12,)",-73.59745584119534,45.55957720849615,$
"('Nouveau Crystal Rest',)","(4.5,)","(4,)",-73.59262,45.55848,
"('Steve Anna',)","(4.0,)","(5,)",-73.5931674,45.557919,$
"('Centrale Bergham',)","(3.0,)","(1,)",-73.59246,45.56578,
"('Fu Lam',)","(3.0,)","(6,)",-73.591253,45.568534,$$
"('Pizza Lagua',)","(3.0,)","(2,)",-73.5997,45.56619,
"('La Table Fleurie',)","(5.0,)","(1,)",-73.59434,45.56293,
"('Chez Alberto',)","(4.0,)","(1,)",-73.5967299,45.56026,
"('Double Pizza',)","(3.0,)","(2,)",-73.591248,45.566251,
"('Kim Jian',)","(4.0,)","(1,)",-73.59772520920848,45.5592579275659,
"('Sapore',)","(4.0,)","(5,)",-73.58775,45.57016,
"(""Sak's Sandwicherie"",)","(3.5,)","(4,)",-73.601021,45.560285,
"('Pho Hin',)","(1.0,)","(1,)",-73.5899777,45.5678594,
"(""Harvey's"",)","(3.5,)","(6,)",-73.5906399,45.56811,
"('Au Coq',)","(2.5,)","(6,)",-73.5893476534424,45.5575087806432,
"('Pizza Pino',)","(4.0,)","(1,)",-73.5958,45.56129,
"('Super Pizza',)","(4.0,)","(1,)",-73.58869,45.56294,
"('Pho Asie',)","(4.0,)","(2,)",-73.598031,45.559406,
"('Papichulo Resto Bar',)","(3.0,)","(2,)",-73.596767924516,45.5603938694452,
